date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2014:45:31%20GMT	http://sbtechnosoft.com/robots.txt		(from )
15:45:32	27802/27802	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:26%20GMT	http://sbtechnosoft.com/foundation/	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/index.html	(from )
15:45:36	121205/121205	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:04%20GMT	http://sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/bootstrap/css/bootstrap.min.css	(from http://sbtechnosoft.com/foundation/)
15:45:36	31004/31004	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:14%20GMT	http://sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/font-awesome/css/font-awesome.min.css	(from http://sbtechnosoft.com/foundation/)
15:45:37	7360/7360	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:30%20GMT	http://sbtechnosoft.com/foundation/assets/linearicons/css/icon-font.min.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/linearicons/css/icon-font.min.css	(from http://sbtechnosoft.com/foundation/)
15:45:38	75601/75601	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:12:32%20GMT	http://sbtechnosoft.com/foundation/assets/animate/animate.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/animate/animate.css	(from http://sbtechnosoft.com/foundation/)
15:45:40	4198/4198	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:32%20GMT	http://sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.carousel.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.carousel.css	(from http://sbtechnosoft.com/foundation/)
15:45:40	1357/1357	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:30%20GMT	http://sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.theme.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/owl-carousel/css/owl.theme.css	(from http://sbtechnosoft.com/foundation/)
15:45:41	7302/7302	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:12%20GMT	http://sbtechnosoft.com/foundation/assets/css/magnific-popup.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/assets/css/magnific-popup.css	(from http://sbtechnosoft.com/foundation/)
15:45:42	55868/55868	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2022:13:36%20GMT	http://sbtechnosoft.com/foundation/css/style.css	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/css/style.css	(from http://sbtechnosoft.com/foundation/)
15:45:42	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2018%20Apr%202018%2022:14:04%20GMT	http://sbtechnosoft.com/foundation/images/favicon.ico	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/favicon.ico	(from http://sbtechnosoft.com/foundation/)
15:45:42	27802/27802	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:26%20GMT	http://sbtechnosoft.com/foundation/index.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/index-2.html	(from http://sbtechnosoft.com/foundation/)
15:45:43	2667/2667	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2022:13:46%20GMT	http://sbtechnosoft.com/foundation/images/logo.png	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/images/logo.png	(from http://sbtechnosoft.com/foundation/)
15:45:43	12434/12434	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:30%20GMT	http://sbtechnosoft.com/foundation/about-us.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/about-us.html	(from http://sbtechnosoft.com/foundation/)
15:45:43	15673/15673	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:26%20GMT	http://sbtechnosoft.com/foundation/faq.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/faq.html	(from http://sbtechnosoft.com/foundation/)
15:45:44	11170/11170	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2022:12:26%20GMT	http://sbtechnosoft.com/foundation/our-team.html	C:/Users/Awaab/Documents/clones/toyin/sbtechnosoft.com/foundation/our-team.html	(from http://sbtechnosoft.com/foundation/)
